id;country_from;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
3924;Chile;;;;;;;;;;;;;;;;;;;3;15;17;17;20;34;7;17;24;13;11;12;6;6;3;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3975;China;;;;;;;;;;;;;;;;;;;;1;5;;;;;;;;;;;;;;;26;29;75;132;112;105;210;271;;;;;;;;;;;;;;;;;;;28;26;
3925;Colombia;;;;;;;;;;;;;;;;;3;32;72;124;186;151;197;214;129;146;251;159;210;151;191;165;172;208;169;181;146;125;163;150;152;178;196;;;;;;;;;;;;;;;;;;;1;;
3863;Comoros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4056;Cook Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3897;Costa Rica;;;;;;;;;;;;;;;;;;;1;4;2;1;1;;;6;;4;8;9;6;1;;1;10;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;
3839;Côte d’Ivoire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4001;Croatia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3898;Cuba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4002;Cyprus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4029;Czech Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
3977;Democratic Peoples Republic of Korea (North Korea);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3857;Democratic Republic of The Congo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
