id;country_from;1997;1998;1999;2014;2015;2016;2017;2018
3944;Oman;;;;;;;;
3962;Pakistan;;;;;;;;
4054;Palau;;;;;;;;
3913;Panama;2;4;3;3;;;;
4045;Papua New Guinea;;;;;;;;
3928;Paraguay;;;;;;;;
3929;Peru;81;151;126;7;4;9;4;5
3970;Philippines;;;;82;70;50;29;9
4032;Poland;;8;;;18;13;8;1
4008;Portugal;;;;;;;1;
3914;Puerto Rico;;;;;;;;
3945;Qatar;;;;;;;;
3978;Republic of Korea (South Korea);;;;;;;;
3856;Republic of The Congo (Brazzaville);;;;;;;;
4000;Republika Srpska;;;;;;;;
3879;Réunion ;;;;;;;;
4033;Romania;;84;280;;;;2;5
4034;Russian Federation;70;91;141;161;130;95;54;34
3862;Rwanda;;;;;;;;
3915;Saint Kitts & Nevis;;;;;;;;
3916;Saint Lucia;;;;;;;;
3887;Saint Pierre and Miquelon;;;;;;;;
3917;Saint Vincent & Grenadines;;;;;;;;
4059;Samoa;;;;;;;;
4009;San Marino;;;;;;;;
3860;Sao Tome e Principe;;;;;;;;
3946;Saudi Arabia;;;;;;;;
11569;Scotland;;;;;;;;
3849;Senegal;;;;;;;;
4010;Serbia;;;;;;;6;7
3873;Seychelles;;;;;;;;
3850;Sierra Leone;;;;;;;;
3971;Singapore;;;;;;;;
4035;Slovakia;;;;;;;;
4011;Slovenia;;;;;;;;
4046;Solomon Island;;;;;;;;
3867;Somalia;;;;;;;;
3883;South Africa;;;;;;;;
3934;South Georgia and the South Sandwich Islands;;;;;;;;
4012;Spain;;;;;;;;
3963;Sri Lanka;;;;;;;;
3833;Sudan;;;;;;;;
3930;Suriname;;;;;;;;
3884;Swaziland;;;;;;;;
3991;Sweden;;;;;;;;
4024;Switzerland;;;;;;;;
3947;Syria;;;;;;;;
3979;Taiwan;;;;;;;;
3954;Tajikistan;;;;;;;;
3874;Tanzania;;;;;;;;
3972;Thailand;;;;1;1;1;1;2
3840;The Gambia;;;;;;;;
3973;Timor-Leste;;;;;;;;
3851;Togo;;;1;;;;;
4060;Tokelau;;;;;;;;
4061;Tonga;;;;;;;;
3918;Trinidad & Tobago;;;;;;;;
3834;Tunisia;;;;;;;1;
4027;Turkey;;;;;;;;
3955;Turkmenistan;;;;;;;;
3919;Turks and Caicos Islands;;;;;;;;
4062;Tuvalu;;;;;;;;
3875;Uganda;;;;;;;;
4036;Ukraine;;;116;5;2;1;;
11572;Ulster;;;;;;;;
3948;United Arab Emirates;;;;;;;;
3992;United Kingdom;;;;;;;;
3805;United States of America;;;;;;;;
3931;Uruguay;;;;;;;;
3956;Uzbekistan;;;;;;;;
4047;Vanuatu;;;;;;;;
3932;Venezuela;2;7;10;1;;;;
3974;Vietnam;;2;1;87;123;109;97;94
3920;Virgin Islands;;;;;;;;
11571;Wales;;;;;;;;
4063;Wallis and Futuna;;;;;;;;
3835;Western Sahara;;;;;;;;
3949;Yemen;;;;;;;;
3876;Zambia;;;;;;;;
3877;Zimbabwe;;;;1;;;;
4130;Sint Maarten;;;;;;;;
4093;South Sudan;;;;;;;;
4073;Antigua and Barbuda;;;;;;;;
;Other;;;;;;;;
