id;country_from;2017;2018;2019;2020;2021
3947;Syria;;;;;
3979;Taiwan;44;32;43;42;48
3954;Tajikistan;;;;;
3874;Tanzania;3;3;1;2;3
3972;Thailand;34;43;38;23;38
3840;The Gambia;;1;1;1;
3973;Timor-Leste;;;;;
3851;Togo;2;2;1;1;
4060;Tokelau;;;;;
4061;Tonga;2;2;2;4;2
3918;Trinidad & Tobago;;;5;;
3834;Tunisia;;;;;
4027;Turkey;;;;;
3955;Turkmenistan;;;;;
3919;Turks and Caicos Islands;;;;;
4062;Tuvalu;;;;;
3875;Uganda;55;26;30;15;8
4036;Ukraine;215;248;298;211;235
11572;Ulster;;;;;
3948;United Arab Emirates;;;;;
3992;United Kingdom;17;1;4;;2
3805;United States of America;;;;;
3931;Uruguay;;;;;
3956;Uzbekistan;;1;;;
4047;Vanuatu;;;;;
3932;Venezuela;;;;1;1
3974;Vietnam;30;28;32;15;11
3920;Virgin Islands;;;;;
11571;Wales;;;;;
4063;Wallis and Futuna;;;;;
3835;Western Sahara;;;;;
3949;Yemen;6;;1;;
3876;Zambia;2;;;3;2
3877;Zimbabwe;;1;;;1
4130;Sint Maarten;3;2;;;
4093;South Sudan;;4;;3;1
