id;country_from;2015;2016;2017;2018;2019;2020
3950;Afghanistan;;1;3;;;
3997;Albania;5;2;;1;1;2
3829;Algeria;;4;2;5;5;4
4055;American Samoa;;;;;;
3998;Andorra;;;;;;
3852;Angola;;;1;;;
3886;Anguilla;;;;;;
3921;Argentina;;;;;;
3936;Armenia;6;;;;;
3891;Aruba;;;;;;
4038;Australia;;;;1;1;1
4016;Austria;;;;;;
4025;Azerbaijan;;;;;;
3892;Bahamas;5;6;;;;
3937;Bahrain;;;;;;
3957;Bangladesh;4;4;6;2;5;1
3893;Barbados;;1;1;2;;
4028;Belarus;;1;;;1;
4017;Belgium;;2;;;1;
3894;Belize;3;1;;;2;
3836;Benin;;;2;;;
3888;Bermuda;;2;;;;
3958;Bhutan;;;;;1;
3922;Bolivia;2;9;;1;4;2
3999;Bosnia and Herzegovina Federation;;2;2;1;1;
3880;Botswana;;;;;;
3923;Brazil;4;1;2;2;4;1
3895;British Virgin Islands;;;;;;
3964;Brunei;;;;;;
4015;Bulgaria;14;6;2;6;7;14
3837;Burkina Faso;3;2;1;3;5;1
3861;Burundi;2;5;1;3;3;5
3965;Cambodia;1;1;4;;1;2
3853;Cameroon;9;12;1;4;1;
3885;Canada;;;;;;
3838;Cape Verde;;;;;;
3896;Cayman Islands;;;;;1;
3854;Central African Republic;;;4;;2;3
3855;Chad;;;;;;
3924;Chile;;;1;;3;
3975;China;110;87;38;57;66;35
3925;Colombia;27;20;16;27;16;10
3863;Comoros;;;;;;
4056;Cook Islands;;;;;;
3897;Costa Rica;;;1;;1;
3839;Côte d’Ivoire;3;;2;;4;
4001;Croatia;;;;;;
3898;Cuba;;1;;;;
4002;Cyprus;;;;;;
4029;Czech Republic;2;;;;;
3977;Democratic Peoples Republic of Korea (North Korea);1;;;;;
3857;Democratic Republic of The Congo;18;25;14;10;10;2
3983;Denmark;;;;;;
3864;Djibouti;;;1;1;1;
3899;Dominica;;1;3;;3;
3900;Dominican Republic;1;;;1;3;
3926;Ecuador;;;;1;;
3830;Egypt;;2;;;1;4
3901;El Salvador;1;;2;;1;1
11570;England;;;;;;
3858;Equatorial Guinea;;;;;;
3865;Eritrea;1;2;1;1;;
3984;Estonia;;;;;;
3866;Ethiopia;31;13;20;13;11;7
3993;Faeroe Islands;;;;;;
3933;Falkland Islands;;;;;;
4051;Federal States of Micronesia;;;1;;1;
4043;Fiji;;;;;;1
3985;Finland;;;1;;1;
4018;France;3;2;;1;1;2
3935;French Guiana;;;;;;
4057;French Polynesia;;;;;;
3859;Gabon;;;1;1;;
4026;Georgia (country);1;;1;;;
4019;Germany;2;1;;;2;3
3841;Ghana;5;3;;1;2;
4013;Gibraltar;;;;;;
4003;Greece;3;1;1;;2;
3889;Greenland;;;;;;
3902;Grenada;1;1;2;;1;1
3903;Guadeloupe;;;;;;
4048;Guam;;;;;;
3904;Guatemala;;5;3;4;5;5
3994;Guernsey;;;;;;
